date,coin,price_in_usd
7/18/2010,BITCOIN,0.08584
7/19/2010,BITCOIN,0.0808
7/20/2010,BITCOIN,0.074735729
7/21/2010,BITCOIN,0.079192863
7/22/2010,BITCOIN,0.05846976
7/23/2010,BITCOIN,0.06059287
7/24/2010,BITCOIN,0.05454
7/25/2010,BITCOIN,0.050540618
7/26/2010,BITCOIN,0.056
7/27/2010,BITCOIN,0.058622016
7/28/2010,BITCOIN,0.058911099
7/29/2010,BITCOIN,0.0699
7/30/2010,BITCOIN,0.064657382
7/31/2010,BITCOIN,0.067545799
8/1/2010,BITCOIN,0.0611
8/2/2010,BITCOIN,0.06
8/3/2010,BITCOIN,0.060012151
8/4/2010,BITCOIN,0.05701578
8/5/2010,BITCOIN,0.061
8/6/2010,BITCOIN,0.061671315
8/7/2010,BITCOIN,0.059003945
8/8/2010,BITCOIN,0.0609
8/9/2010,BITCOIN,0.0704
8/10/2010,BITCOIN,0.069338729
8/11/2010,BITCOIN,0.067
8/12/2010,BITCOIN,0.07
8/13/2010,BITCOIN,0.0645
8/14/2010,BITCOIN,0.066996434
8/15/2010,BITCOIN,0.065117932
8/16/2010,BITCOIN,0.0655
8/17/2010,BITCOIN,0.07
8/18/2010,BITCOIN,0.068
8/19/2010,BITCOIN,0.0667
8/20/2010,BITCOIN,0.0655
8/21/2010,BITCOIN,0.0664
8/22/2010,BITCOIN,0.065928989
8/23/2010,BITCOIN,0.06491
8/24/2010,BITCOIN,0.065
8/25/2010,BITCOIN,0.0648
8/26/2010,BITCOIN,0.064075114
8/27/2010,BITCOIN,0.065
8/28/2010,BITCOIN,0.0646
8/29/2010,BITCOIN,0.064
8/30/2010,BITCOIN,0.06497
8/31/2010,BITCOIN,0.06
9/1/2010,BITCOIN,0.062024828
9/2/2010,BITCOIN,0.0634
9/3/2010,BITCOIN,0.06085
9/4/2010,BITCOIN,0.062178276
9/5/2010,BITCOIN,0.06165
9/6/2010,BITCOIN,0.0616
9/7/2010,BITCOIN,0.061239118
9/8/2010,BITCOIN,0.061
9/9/2010,BITCOIN,0.061114971
9/10/2010,BITCOIN,0.061011524
9/11/2010,BITCOIN,0.063620865
9/12/2010,BITCOIN,0.0615
9/13/2010,BITCOIN,0.06218
9/14/2010,BITCOIN,0.06199
9/15/2010,BITCOIN,0.0604
9/16/2010,BITCOIN,0.0619
