date,coin,market_capitalization_in_usd
8/8/2015,BITCOIN,3784607716.0
8/9/2015,BITCOIN,3856363388.0
8/10/2015,BITCOIN,3837007827.0
8/11/2015,BITCOIN,3932144983.0
8/12/2015,BITCOIN,3885502464.0
8/13/2015,BITCOIN,3836450982.0
8/14/2015,BITCOIN,3861519172.0
8/15/2015,BITCOIN,3798349936.0
8/16/2015,BITCOIN,3755652917.0
8/17/2015,BITCOIN,3743236411.0
8/18/2015,BITCOIN,3161886893.0
8/19/2015,BITCOIN,3298201251.0
8/20/2015,BITCOIN,3419645393.0
8/21/2015,BITCOIN,3381065750.0
8/22/2015,BITCOIN,3350585165.0
8/23/2015,BITCOIN,3322788928.0
8/24/2015,BITCOIN,3080697609.0
8/25/2015,BITCOIN,3236956684.0
8/26/2015,BITCOIN,3288192392.0
8/27/2015,BITCOIN,3271849435.0
8/28/2015,BITCOIN,3377926169.0
8/29/2015,BITCOIN,3344733032.0
8/30/2015,BITCOIN,3333852748.0
8/31/2015,BITCOIN,3359066952.0
9/1/2015,BITCOIN,3320136354.0
9/2/2015,BITCOIN,3343580491.0
9/3/2015,BITCOIN,3309516199.0
9/4/2015,BITCOIN,3369734261.0
9/5/2015,BITCOIN,3439481099.0
9/6/2015,BITCOIN,3511826272.0
9/7/2015,BITCOIN,3510234382.0
9/8/2015,BITCOIN,3562723704.0
9/9/2015,BITCOIN,3484056330.0
9/10/2015,BITCOIN,3485485743.0
9/11/2015,BITCOIN,3517014444.0
9/12/2015,BITCOIN,3452198890.0
9/13/2015,BITCOIN,3368309570.0
9/14/2015,BITCOIN,3375030516.0
9/15/2015,BITCOIN,3367911561.0
9/16/2015,BITCOIN,3348913151.0
9/17/2015,BITCOIN,3410568739.0
9/18/2015,BITCOIN,3411022494.0
9/19/2015,BITCOIN,3398091544.0
9/20/2015,BITCOIN,3385967055.0
9/21/2015,BITCOIN,3319557618.0
9/22/2015,BITCOIN,3376861757.0
9/23/2015,BITCOIN,3370539512.0
9/24/2015,BITCOIN,3432689103.0
9/25/2015,BITCOIN,3451503181.0
9/26/2015,BITCOIN,3438496950.0
9/27/2015,BITCOIN,3419600261.0
9/28/2015,BITCOIN,3519771869.0
9/29/2015,BITCOIN,3481487862.0
9/30/2015,BITCOIN,3473615411.0
10/1/2015,BITCOIN,3496364655.0
10/2/2015,BITCOIN,3492888181.0
10/3/2015,BITCOIN,3520164730.0
10/4/2015,BITCOIN,3517865592.0
